fiscalDateEnding,reportedCurrency,total_assets,current_assets,cash_equiv,cash_and_short_term_inv,inventory,currentNetReceivables,noncurrent_assets,propertyPlantEquipment,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,longTermInvestments,shortTermInvestments,otherCurrentAssets,total_liabilities,current_liabilities,currentAccountsPayable,shortTermDebt,noncurrent_liabilities,longTermDebt,currentLongTermDebt,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,shareholder_equity,retainedEarnings,commonStock,shares_outstanding,Ticker,Statement
2024-06-30,USD,512163000000,159734000000,18315000000,18315000000,1246000000,56924000000,352429000000,,27597000000,27597000000,119220000000,14600000000.0,57216000000,26033000000,243686000000,125286000000,21996000000,8942000000,118400000000,42688000000.0,8942000000.0,67127000000.0,31749000000,27064000000.0,268477000000,173144000000,100923000000,7469000000,MSFT,BALANCE_SHEET
2023-06-30,USD,411976000000,184257000000,34704000000,34704000000,2500000000,48688000000,227719000000,109987000000.0,9366000000,9366000000,67886000000,9879000000.0,76558000000,21807000000,205753000000,104149000000,18095000000,5247000000,101604000000,41990000000.0,5247000000.0,59965000000.0,29906000000,17981000000.0,206223000000,118848000000,93718000000,7472000000,MSFT,BALANCE_SHEET
2022-06-30,USD,364840000000,169684000000,13931000000,13931000000,3742000000,44261000000,195156000000,87546000000.0,11298000000,11298000000,67524000000,6891000000.0,90826000000,16924000000,198298000000,95082000000,19000000000,2749000000,103216000000,47032000000.0,2749000000.0,61270000000.0,27795000000,15526000000.0,166542000000,84281000000,86939000000,7540000000,MSFT,BALANCE_SHEET
2021-06-30,USD,333779000000,184406000000,14224000000,14224000000,2636000000,38043000000,149373000000,70803000000.0,7800000000,7800000000,49711000000,5984000000.0,116110000000,13393000000,191791000000,88657000000,15163000000,8072000000,103134000000,50074000000.0,8072000000.0,67775000000.0,23897000000,13427000000.0,141988000000,57055000000,83111000000,7608000000,MSFT,BALANCE_SHEET
2020-06-30,USD,301311000000,181915000000,13576000000,13576000000,1895000000,32011000000,119396000000,44151000000.0,7038000000,7038000000,43351000000,2965000000.0,122951000000,11482000000,183007000000,72310000000,12530000000,3749000000,110697000000,59578000000.0,3749000000.0,70998000000.0,20031000000,50915000000.0,118304000000,34566000000,80552000000,7683000000,MSFT,BALANCE_SHEET
2019-06-30,USD,286556000000,175552000000,11356000000,11356000000,2063000000,29524000000,111004000000,36477000000.0,7750000000,7750000000,42026000000,2649000000.0,122463000000,10146000000,184226000000,69420000000,9382000000,5516000000,114806000000,66662000000.0,5516000000.0,78366000000.0,21846000000,47911000000.0,102330000000,24150000000,78520000000,7753000000,MSFT,BALANCE_SHEET
2018-06-30,USD,258848000000,169662000000,11946000000,11946000000,2662000000,26481000000,89186000000,29460000000.0,8053000000,8053000000,35683000000,1862000000.0,121822000000,6751000000,176130000000,58488000000,8617000000,3998000000,117642000000,72242000000.0,3998000000.0,81808000000.0,16968000000,44859000000.0,82718000000,13682000000,71223000000,7794000000,MSFT,BALANCE_SHEET
2017-06-30,USD,241086000000,159851000000,7663000000,7663000000,2181000000,19792000000,81235000000,23734000000.0,10106000000,10106000000,35122000000,6023000000.0,125318000000,4897000000,168692000000,64527000000,7390000000,10121000000,104165000000,76073000000.0,10121000000.0,86194000000.0,12914000000,17184000000.0,72394000000,2648000000,69315000000,7832000000,MSFT,BALANCE_SHEET
2016-06-30,USD,193694000000,139660000000,6510000000,6510000000,2251000000,18277000000,54034000000,18356000000.0,3733000000,3733000000,17872000000,10431000000.0,106730000000,5892000000,121697000000,59357000000,6898000000,12904000000,62340000000,40783000000.0,12904000000.0,53687000000.0,12087000000,13640000000.0,71997000000,2282000000,68178000000,8013000000,MSFT,BALANCE_SHEET
2015-06-30,USD,174472000000,122797000000,5595000000,5595000000,2902000000,17908000000,51675000000,14731000000.0,4835000000,4835000000,16939000000,12053000000.0,90931000000,5461000000,94389000000,49647000000,6591000000,7484000000,44742000000,27808000000.0,2499000000.0,35292000000.0,11743000000,13544000000.0,80083000000,9096000000,68465000000,8254000000,MSFT,BALANCE_SHEET
