fiscalDateEnding,reportedCurrency,operating_cf,depreciationDepletionAndAmortization,capex,changeInReceivables,changeInInventory,cf_investing,cf_financing,dividendPayout,dividendPayoutCommonStock,proceedsFromRepurchaseOfEquity,change_in_cash,net_income,Ticker,Statement
2024-09-30,USD,118254000000,11445000000,9447000000,,-1046000000,,-121983000000,15234000000.0,15234000000.0,-94949000000,,93736000000,AAPL,CASH_FLOW
2023-09-30,USD,110543000000,11519000000,10959000000,-417000000.0,-1618000000,3705000000.0,-108488000000,15025000000.0,15025000000.0,-77550000000,5760000000.0,96995000000,AAPL,CASH_FLOW
2022-09-30,USD,122151000000,11104000000,10708000000,-9343000000.0,1484000000,-22354000000.0,-110749000000,14841000000.0,14841000000.0,-89402000000,-10952000000.0,99803000000,AAPL,CASH_FLOW
2021-09-30,USD,104038000000,11284000000,11085000000,-14028000000.0,-2642000000,-14545000000.0,-93353000000,14467000000.0,14467000000.0,-85971000000,-3860000000.0,94680000000,AAPL,CASH_FLOW
2020-09-30,USD,80674000000,11056000000,7309000000,8470000000.0,-127000000,-4289000000.0,-86820000000,14081000000.0,14081000000.0,-72358000000,-10435000000.0,57411000000,AAPL,CASH_FLOW
2019-09-30,USD,69391000000,12547000000,10495000000,3176000000.0,-289000000,45896000000.0,-90976000000,14119000000.0,14119000000.0,-66897000000,24311000000.0,55256000000,AAPL,CASH_FLOW
2018-09-30,USD,77434000000,10903000000,13313000000,-13332000000.0,828000000,16066000000.0,-87876000000,13712000000.0,13712000000.0,-72738000000,5624000000.0,59531000000,AAPL,CASH_FLOW
2017-09-30,USD,63598000000,10157000000,12451000000,-6347000000.0,-2723000000,-46446000000.0,-17347000000,12769000000.0,12769000000.0,-32900000000,-195000000.0,48351000000,AAPL,CASH_FLOW
2016-09-30,USD,65824000000,10505000000,12734000000,1044000000.0,217000000,-45977000000.0,-20483000000,12150000000.0,12150000000.0,-29722000000,-636000000.0,45687000000,AAPL,CASH_FLOW
2015-09-30,USD,81266000000,11257000000,11247000000,611000000.0,-238000000,-56274000000.0,-17716000000,11561000000.0,11561000000.0,-35253000000,7276000000.0,53394000000,AAPL,CASH_FLOW
2014-09-30,USD,59713000000,7946000000,9571000000,-6452000000.0,-76000000,-22579000000.0,-37549000000,11126000000.0,11126000000.0,-45000000000,-415000000.0,39510000000,AAPL,CASH_FLOW
2013-09-30,USD,53666000000,6757000000,8165000000,-1949000000.0,-973000000,-33774000000.0,-16379000000,10564000000.0,10564000000.0,-22860000000,3513000000.0,37037000000,AAPL,CASH_FLOW
2012-09-30,USD,50856000000,3277000000,8295000000,-6965000000.0,-15000000,-48227000000.0,-1698000000,2488000000.0,2488000000.0,665000000,931000000.0,41733000000,AAPL,CASH_FLOW
2011-09-30,USD,37529000000,1814000000,4260000000,-1791000000.0,275000000,-40419000000.0,1444000000,,,831000000,-1446000000.0,25922000000,AAPL,CASH_FLOW
2010-09-30,USD,18595000000,1027000000,2005000000,-4860000000.0,-596000000,-13854000000.0,1257000000,,,912000000,5998000000.0,14013000000,AAPL,CASH_FLOW
2009-09-30,USD,10159000000,703000000,1144000000,-939000000.0,54000000,-17434000000.0,663000000,,,475000000,-6612000000.0,5704000000,AAPL,CASH_FLOW
2008-09-30,USD,9596000000,473000000,1091000000,,-163000000,,1116000000,,,-124000000,2523000000.0,4834000000,AAPL,CASH_FLOW
2007-09-30,USD,5470000000,317000000,735000000,,-76000000,,739000000,,,-3000000,2960000000.0,3496000000,AAPL,CASH_FLOW
2006-09-30,USD,2220000000,225000000,657000000,,-105000000,357000000.0,324000000,,,-355000000,2901000000.0,1989000000,AAPL,CASH_FLOW
2005-09-30,USD,2535000000,179000000,260000000,,-64000000,,543000000,,,543000000,522000000.0,1335000000,AAPL,CASH_FLOW
