fiscalDateEnding,reportedCurrency,operating_cf,depreciationDepletionAndAmortization,capex,changeInReceivables,changeInInventory,cf_investing,cf_financing,dividendPayout,dividendPayoutCommonStock,proceedsFromRepurchaseOfEquity,change_in_cash,net_income,Ticker,Statement
2025-01-31,USD,64089000000,1864000000,3236000000,,-4781000000,,-42359000000,834000000.0,834000000.0,-33706000000,,72880000000,NVDA,CASH_FLOW
2024-01-31,USD,28090000000,1508000000,1069000000,,-98000000,-10566000000.0,-13633000000,395000000.0,395000000.0,-9533000000,,29760000000,NVDA,CASH_FLOW
2023-01-31,USD,5641000000,1544000000,1833000000,822000000.0,-2554000000,7375000000.0,-11617000000,398000000.0,398000000.0,-10039000000,1399000000.0,4368000000,NVDA,CASH_FLOW
2022-01-31,USD,9108000000,1174000000,976000000,-2215000000.0,-774000000,-9830000000.0,1865000000,399000000.0,399000000.0,-1904000000,1143000000.0,9752000000,NVDA,CASH_FLOW
2021-01-31,USD,5822000000,1098000000,1128000000,-550000000.0,-524000000,-19675000000.0,3804000000,395000000.0,395000000.0,-942000000,-10049000000.0,4332000000,NVDA,CASH_FLOW
2020-01-31,USD,4761000000,381000000,489000000,-233000000.0,597000000,6145000000.0,-792000000,390000000.0,390000000.0,-1579000000,10114000000.0,2796000000,NVDA,CASH_FLOW
2019-01-31,USD,3743000000,262000000,600000000,-149000000.0,-776000000,-4097000000.0,-2866000000,371000000.0,371000000.0,-1579000000,-3220000000.0,4141000000,NVDA,CASH_FLOW
2018-01-31,USD,3502000000,199000000,593000000,-440000000.0,-375000000,1278000000.0,-2544000000,341000000.0,341000000.0,-909000000,2236000000.0,3047000000,NVDA,CASH_FLOW
2017-01-31,USD,1672000000,187000000,176000000,-321000000.0,-375000000,-793000000.0,291000000,261000000.0,261000000.0,-739000000,1170000000.0,1666000000,NVDA,CASH_FLOW
2016-01-31,USD,1175000000,197000000,86000000,-32000000.0,66000000,-400000000.0,-676000000,213000000.0,213000000.0,-587000000,99000000.0,614000000,NVDA,CASH_FLOW
2015-01-31,USD,906000000,220000000,122000000,-49324000.0,-95000000,-727048000.0,-834000000,186000000.0,186000000.0,-814000000,-654933000.0,631000000,NVDA,CASH_FLOW
2014-01-31,USD,835000000,239000000,255000000,28852000.0,25000000,-805937000.0,390000000,181000000.0,181000000.0,-887000000,418801000.0,440000000,NVDA,CASH_FLOW
2013-01-31,USD,824172000,226235000,183309000,-118940000.0,-78949000,-743992000.0,-15270000,46866000.0,46866000.0,-100000000,64910000.0,562536000,NVDA,CASH_FLOW
2012-01-31,USD,909156000,204205000,138735000,26236000.0,18884000,-1143364000.0,236723000,0.0,0.0,195900000,2515000.0,581090000,NVDA,CASH_FLOW
2011-01-31,USD,675797000,186989000,97890000,26341000.0,-14128000,-649678000.0,192021000,0.0,0.0,177300000,218140000.0,253146000,NVDA,CASH_FLOW
2010-01-31,USD,487807000,196664000,77601000,-56741000.0,204656000,-519333000.0,61059000,0.0,0.0,138029000,29533000.0,-67987000,NVDA,CASH_FLOW
2009-01-31,USD,249360000,185023000,407670000,,-177295000,-209367000.0,-349274000,,,-423636000,,-30041000,NVDA,CASH_FLOW
2008-01-31,USD,1270196000,133192000,187745000,,-3690000,-761318000.0,-326323000,,,-552512000,,797645000,NVDA,CASH_FLOW
2007-01-31,USD,587111000,107562000,145256000,,-91395000,-540823000.0,-53630000,,,-274978000,,448834000,NVDA,CASH_FLOW
2006-01-31,USD,446408000,97977000,79600000,,60726000,,-61377000,,,-188509000,,302586000,NVDA,CASH_FLOW
