fiscalDateEnding,reportedCurrency,gross_profit,revenue,costOfRevenue,costofGoodsAndServicesSold,operating_income,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,interestIncome,interestExpense,otherNonOperatingIncome,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,netIncomeFromContinuingOperations,ebit,ebitda,net_income,Ticker,Statement
2025-01-31,USD,97858000000,130497000000,32639000000,32639000000,81453000000,3491000000,12914000000,16405000000,1786000000.0,247000000,,1864000000,84026000000,11146000000,72880000000.0,84273000000,86137000000,72880000000,NVDA,INCOME_STATEMENT
2024-01-31,USD,44301000000,60922000000,16621000000,16621000000,32972000000,2654000000,8675000000,11329000000,866000000.0,257000000,,1508000000,33818000000,4058000000,29760000000.0,34075000000,35583000000,29760000000,NVDA,INCOME_STATEMENT
2023-01-31,USD,15356000000,26974000000,11618000000,11618000000,4224000000,2440000000,7339000000,11132000000,267000000.0,262000000,219000000.0,1544000000,4181000000,-187000000,4368000000.0,4443000000,5987000000,4368000000,NVDA,INCOME_STATEMENT
2022-01-31,USD,17475000000,26914000000,9439000000,9439000000,10041000000,2166000000,5268000000,7434000000,29000000.0,236000000,136000000.0,1174000000,9941000000,189000000,9752000000.0,10177000000,11351000000,9752000000,NVDA,INCOME_STATEMENT
2021-01-31,USD,10396000000,16675000000,6279000000,6279000000,4532000000,1940000000,3924000000,5864000000,57000000.0,184000000,61000000.0,1098000000,4409000000,77000000,4332000000.0,4593000000,5691000000,4332000000,NVDA,INCOME_STATEMENT
2020-01-31,USD,6768000000,10918000000,4150000000,4150000000,2846000000,1093000000,2829000000,3922000000,178000000.0,52000000,176000000.0,381000000,2970000000,174000000,2796000000.0,3022000000,3403000000,2796000000,NVDA,INCOME_STATEMENT
2019-01-31,USD,7171000000,11716000000,4545000000,4545000000,3804000000,991000000,2376000000,3367000000,136000000.0,58000000,150000000.0,262000000,3896000000,-245000000,4141000000.0,3954000000,4216000000,4141000000,NVDA,INCOME_STATEMENT
2018-01-31,USD,5822000000,9714000000,3892000000,3892000000,3210000000,815000000,1797000000,2612000000,69000000.0,61000000,47000000.0,199000000,3196000000,149000000,3047000000.0,3257000000,3456000000,3047000000,NVDA,INCOME_STATEMENT
2017-01-31,USD,4063000000,6910000000,2847000000,2847000000,1934000000,663000000,1463000000,2129000000,54000000.0,58000000,29000000.0,187000000,1905000000,239000000,1666000000.0,1963000000,2150000000,1666000000,NVDA,INCOME_STATEMENT
2016-01-31,USD,2811000000,5010000000,2199000000,2199000000,747000000,602000000,1331000000,2064000000,8000000.0,47000000,43000000.0,197000000,743000000,129000000,614000000.0,790000000,987000000,614000000,NVDA,INCOME_STATEMENT
2015-01-31,USD,2599000000,4682000000,2083000000,2083000000,759000000,459763000,1360000000,1840000000,,46000000,41980000.0,220000000,755000000,124000000,631000000.0,801000000,1021000000,631000000,NVDA,INCOME_STATEMENT
2014-01-31,USD,2268000000,4130000000,1862000000,1862000000,496000000,422702000,1336000000,1772000000,,10000000,24470000.0,239000000,510000000,70000000,439990000.0,520000000,759000000,440000000,NVDA,INCOME_STATEMENT
2013-01-31,USD,2226343000,4280159000,2053816000,2053816000,648239000,431000000,1147282000,1578104000,,3294000,17094000.0,226235000,662039000,99503000,562536000.0,648239000,874474000,562536000,NVDA,INCOME_STATEMENT
2012-01-31,USD,2056517000,3997930000,1941413000,1941413000,648299000,406000000,1002605000,1408218000,,3089000,18186000.0,204205000,663396000,82306000,581090000.0,648299000,852504000,581090000,NVDA,INCOME_STATEMENT
2011-01-31,USD,1409090000,3543309000,2134219000,2134219000,255747000,362000000,848830000,1153343000,,3127000,18549000.0,186989000,271169000,18023000,253146000.0,255747000,442736000,253146000,NVDA,INCOME_STATEMENT
2010-01-31,USD,1176923000,3326445000,2149522000,2149522000,-98945000,367017000,908851000,1275868000,,3320000,19971000.0,196664000,-82294000,-14307000,-67987000.0,-78974000,117690000,-67987000,NVDA,INCOME_STATEMENT
2009-01-31,USD,1174269000,3424859000,2250590000,2250590000,-70700000,362000000,855879000,1244969000,,406000,,185023000,-42954000,-12913000,,-42548000,142475000,-30041000,NVDA,INCOME_STATEMENT
2008-01-31,USD,1869280000,4097860000,2228580000,2228580000,836346000,341000000,691637000,1032934000,,0,,133192000,901341000,103696000,,836346000,969538000,797645000,NVDA,INCOME_STATEMENT
2007-01-31,USD,1300449000,3068771000,1768322000,1768322000,453452000,294000000,553467000,846997000,,21000,,107562000,494480000,46350000,,453452000,561014000,448834000,NVDA,INCOME_STATEMENT
2006-01-31,USD,910795000,2375687000,1464892000,1464892000,340097000,202000000,352099000,570698000,,72000,,97977000,360221000,57635000,,354757000,452734000,302586000,NVDA,INCOME_STATEMENT
